                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.334,                 1.9193,                 1.3264,                0.79715,                0.80488,                0.85462,                0.53513,                 1.4527,                0.78607,                 1.4321,             9.4722e-05,             9.4722e-05,             9.4722e-05
                      2,                 1.0384,                0.90269,                 1.0493,                0.93976,                0.98807,                0.99266,                0.64773,                 1.3747,                0.47956,                 1.3551,              0.0001877,              0.0001877,              0.0001877
                      3,                 0.9177,                0.74898,                  1.002,                0.97641,                0.98832,                0.98512,                0.62434,                 1.4894,                0.48179,                  1.472,             0.00027833,             0.00027833,             0.00027833
                      4,                0.86328,                0.66006,                0.97524,                0.96653,                0.99571,                0.99413,                0.65035,                 1.3735,                0.45882,                  1.358,             0.00027538,             0.00027538,             0.00027538
                      5,                0.81382,                0.62457,                0.96271,                0.97659,                 0.9872,                0.99421,                0.65284,                 1.3804,                 0.4566,                  1.369,             0.00027184,             0.00027184,             0.00027184
                      6,                0.80077,                 0.6012,                 0.9567,                0.97416,                0.99335,                0.99421,                0.66207,                 1.3263,                0.44593,                 1.3337,              0.0002683,              0.0002683,              0.0002683
                      7,                0.76355,                0.58495,                0.93631,                0.98121,                0.99065,                0.99422,                0.65836,                 1.3424,                0.44801,                 1.3285,             0.00026476,             0.00026476,             0.00026476
                      8,                0.74992,                  0.577,                0.93475,                0.98369,                0.98506,                0.99427,                0.66457,                 1.3066,                0.44972,                 1.2893,             0.00026123,             0.00026123,             0.00026123
                      9,                0.73891,                0.55351,                 0.9296,                0.97817,                0.98677,                0.99369,                0.66625,                 1.3069,                 0.4422,                 1.3023,             0.00025769,             0.00025769,             0.00025769
                     10,                0.73856,                0.56229,                0.92907,                0.97556,                0.99641,                0.99387,                0.66015,                 1.3483,                0.44764,                 1.3309,             0.00025415,             0.00025415,             0.00025415
